# Mode: blacklist
item_id,name,is_filtered
2,Cannonball,true
6,Cannon base,true
8,Cannon stand,true
10,Cannon barrels,true
12,Cannon furnace,true
28,Insect repellent,true
30,Bucket of wax,true
36,Candle,true
39,Bronze arrowtips,true
40,Iron arrowtips,true
41,Steel arrowtips,true
42,Mithril arrowtips,true
43,Adamant arrowtips,true
44,Rune arrowtips,true
45,Opal bolt tips,true
46,Pearl bolt tips,true
47,Barb bolttips,true
48,Longbow (u),true
50,Shortbow (u),true
52,Arrow shaft,true
53,Headless arrow,true
54,Oak shortbow (u),true
56,Oak longbow (u),true
58,Willow longbow (u),true
60,Willow shortbow (u),true
62,Maple longbow (u),true
64,Maple shortbow (u),true
66,Yew longbow (u),true
68,Yew shortbow (u),true
70,Magic longbow (u),true
72,Magic shortbow (u),true
91,Guam potion (unf),true
93,Marrentill potion (unf),true
95,Tarromin potion (unf),true
97,Harralander potion (unf),true
99,Ranarr potion (unf),true
101,Irit potion (unf),true
103,Avantoe potion (unf),true
105,Kwuarm potion (unf),true
107,Cadantine potion (unf),true
109,Dwarf weed potion (unf),true
111,Torstol potion (unf),true
113,Strength potion(4),true
115,Strength potion(3),true
117,Strength potion(2),true
119,Strength potion(1),true
121,Attack potion(3),true
123,Attack potion(2),true
125,Attack potion(1),true
127,Restore potion(3),true
129,Restore potion(2),true
131,Restore potion(1),true
133,Defence potion(3),true
135,Defence potion(2),true
137,Defence potion(1),true
139,Prayer potion(3),true
141,Prayer potion(2),true
143,Prayer potion(1),true
145,Super attack(3),true
147,Super attack(2),true
149,Super attack(1),true
151,Fishing potion(3),true
153,Fishing potion(2),true
155,Fishing potion(1),true
157,Super strength(3),true
159,Super strength(2),true
161,Super strength(1),true
163,Super defence(3),true
165,Super defence(2),true
167,Super defence(1),true
169,Ranging potion(3),true
171,Ranging potion(2),true
173,Ranging potion(1),true
175,Antipoison(3),true
177,Antipoison(2),true
179,Antipoison(1),true
181,Superantipoison(3),true
183,Superantipoison(2),true
185,Superantipoison(1),true
187,Weapon poison,true
189,Zamorak brew(3),true
191,Zamorak brew(2),true
193,Zamorak brew(1),true
197,Poison chalice,true
199,Grimy guam leaf,true
201,Grimy marrentill,true
203,Grimy tarromin,true
205,Grimy harralander,true
207,Grimy ranarr weed,true
209,Grimy irit leaf,true
211,Grimy avantoe,true
213,Grimy kwuarm,true
215,Grimy cadantine,true
217,Grimy dwarf weed,true
219,Grimy torstol,true
221,Eye of newt,true
223,Red spiders' eggs,true
225,Limpwurt root,true
227,Vial of water,true
229,Vial,true
231,Snape grass,true
233,Pestle and mortar,true
235,Unicorn horn dust,true
237,Unicorn horn,true
239,White berries,true
241,Dragon scale dust,true
243,Blue dragon scale,true
245,Wine of zamorak,true
247,Jangerberries,true
249,Guam leaf,true
251,Marrentill,true
253,Tarromin,true
255,Harralander,true
257,Ranarr weed,true
259,Irit leaf,true
261,Avantoe,true
263,Kwuarm,true
265,Cadantine,true
267,Dwarf weed,true
269,Torstol,true
272,Fish food,true
273,Poison,true
288,Goblin mail,true
299,Mithril seeds,true
301,Lobster pot,true
303,Small fishing net,true
305,Big fishing net,true
307,Fishing rod,true
309,Fly fishing rod,true
311,Harpoon,true
313,Fishing bait,true
314,Feather,true
315,Shrimps,true
317,Raw shrimps,true
319,Anchovies,true
321,Raw anchovies,true
325,Sardine,true
327,Raw sardine,true
329,Salmon,true
331,Raw salmon,true
333,Trout,true
335,Raw trout,true
339,Cod,true
341,Raw cod,true
345,Raw herring,true
347,Herring,true
349,Raw pike,true
351,Pike,true
353,Raw mackerel,true
355,Mackerel,true
359,Raw tuna,true
361,Tuna,true
363,Raw bass,true
365,Bass,true
371,Raw swordfish,true
373,Swordfish,true
377,Raw lobster,true
379,Lobster,true
383,Raw shark,true
385,Shark,true
389,Raw manta ray,true
391,Manta ray,true
395,Raw sea turtle,true
397,Sea turtle,true
401,Seaweed,true
403,Edible seaweed,true
405,Casket,true
407,Oyster,true
411,Oyster pearl,true
